ID_VEEVA,cdg_esp1,cdg_esp2,categoria,BI Approved Program,BI Stand Alone Meetings,Digital Activities,Educational Symposium,International/National Congress,Lunch & Learn,Product Launch,Roundtable,OPEN_FUE,CLM,CRECSHARE
MX0010W00002EnrcwQAB,MEI,,5,0,0,0,0,0,0,0,0,0,0,1
MX0010W00002EnrcwQAB,MEI,,4,0,0,0,0,0,0,0,0,0,0,1
MX0010W00002EnrvbQAB,GER,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EnusnQAB,MEG,,5,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EnxJtQAJ,E-N,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EoAhUQAV,MEG,,4,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EoCw8QAF,NEF,,5,0,0,0,0,1,0,0,0,0,0,0
MX0010W00002EogegQAB,MEG,,4,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002Eogk0QAB,MEI,,5,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EokJrQAJ,PED,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002Eol5uQAB,MEG,,3,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EolMXQAZ,MEI,,3,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EonwIQAR,CRD,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002Ep1qkQAB,MEG,,4,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002Ep55fQAB,PED,INF,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002Ep56JQAR,MEG,CIR,4,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002Ep6OqQAJ,CIR,,4,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002Ep6OqQAJ,PED,,5,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EpB5MQAV,MEG,,4,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EpB73QAF,MEG,,5,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EpBCIQA3,CRD,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EpBCIQA3,CRD,,5,0,0,0,0,0,0,0,0,0,0,0
MX0010W00002EpCTKQA3,MEG,,5,0,0,0,0,0,0,0,0,1,0,0
MX0010W00002EpIdMQAV,GOB,,5,0,0,0,0,0,0,0,0,0,0,0
